station_id,station_name,address,city,state,latitude,longitude,price
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,37.336609,-84.354882,2.999
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,29.1981,-82.0974,3.359
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,29.1981,-82.0974,3.41233333
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,30.471983,-91.254088,3.039
243,SAVE,US-41 & SR-10,Lake Village,IN,41.138741,-87.445422,3.179
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,30.191216,-92.152455,2.98233333
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,29.963071,-90.160953,3.729
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,38.878046,-99.320134,3.499
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,35.148442,-90.17792,3.32566666
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,39.684436,-79.151665,3.899
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,47.509812,-111.273397,3.63566666
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,41.936199,-86.554334,3.559
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,37.756882,-100.024074,3.399
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,41.92751,-83.404848,3.299
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,41.92751,-83.404848,3.249
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,41.92751,-83.404848,3.439
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,41.92751,-83.404848,3.349
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,41.92751,-83.404848,3.559
278,CARLISLE PLAZA,US-41,Carlisle,IN,38.976297,-87.366738,3.499
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,39.295833,-85.950833,3.399
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,38.964402,-95.241789,3.229
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,37.266828,-95.559019,3.23233333
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,38.144768,-96.554105,3.25566666
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,42.106,-72.5977,3.599
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,39.115733,-94.627139,3.199
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,41.127505,-101.710742,3.46566666
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,41.398944,-112.031653,3.749
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,30.095578,-81.621701,3.469
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,41.567201,-87.175689,3.99066666
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,42.146307,-75.886517,3.769
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,42.146307,-75.886517,3.689
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,42.146307,-75.886517,3.699
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,42.146307,-75.886517,3.739
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,30.3163,-81.4175,3.31566666
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,43.180343,-73.705267,3.749
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,43.180343,-73.705267,3.799
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,41.609929,-87.507911,3.999
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,31.96177,-95.270328,2.91566666
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,32.701507,-114.642362,3.489
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,40.265499,-82.851051,3.719
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,41.022731,-81.856199,3.699
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,39.953464,-82.491868,3.429
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,41.542926,-83.592727,3.499
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,35.3337,-97.4922,3.30233333
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,35.471758,-97.272564,2.899
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,32.547794,-82.90368,3.299
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,42.114943,-102.888045,3.324
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,37.945059,-77.47135,3.26566666
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,41.136102,-84.892871,3.399
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,40.430581,-95.527403,3.399
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,33.95805,-81.39136,3.079
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,33.502545,-80.859282,3.26233333
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,37.470274,-105.878602,3.259
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,32.429583,-88.489225,3.299
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,48.936124,-97.275611,3.299
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,36.696052,-101.47778,2.97566666
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,27.515538,-99.498579,3.299
489,EDDIES CORNER,US-87 & US-191,Moore,MT,46.989811,-109.653838,3.749
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,36.115027,-84.043826,2.999
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,35.9609,-83.9189,3.439
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,31.042879,-104.832249,3.649
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,31.042879,-104.832249,3.649
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,40.045854,-81.447853,3.179
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,34.307269,-83.825596,3.26566666
525,FASTBREAK,US-45 ALT,West Point,MS,33.626496,-88.68226,3.059
546,PLAZA 30,US-30,Wanatah,IN,41.384477,-86.876439,3.499
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,41.333021,-89.126478,3.389
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,41.333021,-89.126478,3.589
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,41.333021,-89.126478,3.449
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,41.333021,-89.126478,3.289
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,34.849085,-92.405892,3.20733333
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,41.593333,-87.346389,3.83066666
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,32.750929,-111.583275,3.459
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,41.0716,-85.1367,3.899
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,41.0716,-85.1367,3.879
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,30.250966,-92.500226,3.624
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,45.525398,-122.373866,3.779
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,41.605957,-109.230047,3.67066666
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,46.223183,-119.771014,4.399
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,46.223183,-119.771014,4.559
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,33.176667,-87.387051,2.964
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,38.977553,-93.581205,3.22566666
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,41.142778,-102.9775,3.50066666
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,43.642222,-72.252222,3.599
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,41.53332,-74.253417,4.359
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,41.802864,-80.947363,3.15233333
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,44.627722,-123.094409,3.379
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,35.895143,-88.091183,2.98566666
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,35.9609,-83.9189,3.42566666
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,31.934379,-106.592888,3.499
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,39.859178,-75.176698,3.549
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,45.352128,-97.042654,3.20566666
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,42.163143,-78.960034,4.499
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,37.6898,-97.3415,3.499
692,BP,US-63,Ottumwa,IA,41.015099,-92.413428,3.399
739,Arco #364420,US-23,Greenup,KY,38.547969,-82.868396,3.649
748,QUIKTRIP #4231,US-85,Evans,CO,40.380255,-104.697095,3.17233333
769,AYERCO #26,US-61/US-136,Alexandria,MO,40.344514,-91.515437,3.01566666
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,43.015797,-89.904229,3.489
